id,city,name,address,neigborhood,zip,county,type,latitude,longitude
16604,NYC,BLISS DELI & GROCERY CORP,4622 QUEENS BOULEVARD,SUNNYSIDE,11104,NEW YORK CITY,GROCERY SUPERMARKET,40.742926268000076,-73.91821291099996
16497,NYC,2355 DELI & GROCERY CORP,2355 GRAND CONCOURSE,BRONX,10468,BRONX,CONVENIENCE STORE,40.85901719700007,-73.89924838099995
16503,NYC,4G DELI CORP,11316 SUTPHIN BOULEVARD,JAMAICA,11435,QUEENS,GROCERY SUPERMARKET,40.68646109600007,-73.79406595499995
16396,NYC,124 STOP 1 FOOD MART INC,124 UNION STREET,BROOKLYN,11231,BROOKLYN,GROCERY SUPERMARKET,40.68419413200007,-74.00244823299994
16925,NYC,KAID ABDULLA NAGI,2185 PACIFIC STREET,BROOKLYN,11233,BROOKLYN,GROCERY SUPERMARKET,40.675747510000065,-73.91400869999995
16529,NYC,"CAMPOS BAGELS & DELI, INC",3962 RICHMOND  AVENUE,STATEN ISLAND,10312,NEW YORK CITY,GROCERY SUPERMARKET,40.54162456100005,-74.16267723099998
16241,NYC,1224 MANHATTAN DELI CORP/DELI NASSAU,183 NASSAU AVENUE,BROOKLYN,11222,NEW YORK CITY,DELICATESSEN,40.725407405000055,-73.94587905399999
16732,NYC,SAI NEWS INC,11327A QUEENS BOULEVARD,FOREST HILLS,11375,QUEENS,GROCERY SUPERMARKET,40.71769739000007,-73.83531097299993
16366,NYC,MARINA GOURMET DELI INC,246 EAST 23RD STREET,NEW YORK,10010,MANHATTAN,CONVENIENCE STORE,40.73805461100005,-73.98136139699994
16803,NYC,QUICK DELI & CANDY CORP,8202 ROOSEVELT  AVENUE,JACKSON HEIGHTS,11372,QUEENS,GROCERY SUPERMARKET,40.74763296700007,-73.88371764399994
16089,NYC,589 BAKERY INC,589 1ST  AVENUE,NEW YORK,10016,NEW YORK CITY,CONVENIENCE STORE,40.74355942700004,-73.97370617099995
16801,NYC,YAN LIN,155 YORK STREET,BROOKLYN,11201,BROOKLYN,GROCERY SUPERMARKET,40.70146850800006,-73.98456894599997
16211,NYC,NY MC DELI INC,6302 BROADWAY,WOODSDE,11377,NEW YORK CITY,GROCERY SUPERMARKET,40.74993489700006,-73.89908170899997
